X,Y,LocationID,State
-150.5992392,60.54105157,AK05,AK
-150.8680781,60.5402793,88AK,AK
-150.9393087,60.53449874,53AK,AK
-150.8308559,60.52944598,AK84,AK
-150.1799719,60.69719913,AK39,AK
-150.8490504,60.55121264,40AK,AK
-149.0543883,66.01716813,SVS,AK
-156.588551,61.7897505,SRV,AK
-149.1288608,63.33104177,UMM,AK
-150.2622468,61.37194685,8AK6,AK
-148.9088123,61.70403233,52AK,AK
-148.3516901,61.79111297,AK59,AK
-156.0297464,62.99294494,TCT,AK
-155.9780366,62.89491579,TLJ,AK
-149.7521072,62.30743492,2AK7,AK
-150.0658377,62.24229043,51AK,AK
-147.7747462,62.47750191,AA09,AK
-150.0642987,62.17390433,AK19,AK
-150.5396321,62.16289869,45AA,AK
-150.0669542,62.08261266,21AK,AK
-149.9772661,62.02448241,49AK,AK
-149.9267407,62.51015155,AA00,AK
-150.220524,62.56376816,3AK3,AK
-148.9074353,62.69962948,AK61,AK
-150.0927461,62.32136264,TKA,AK
-150.1161716,62.3189382,AK44,AK
-143.3290144,63.37406641,TSG,AK
-151.809898,64.64739275,7AK0,AK
-152.1081374,65.17438988,TAL,AK
-146.6911895,60.87239107,7KA,AK
-153.3619768,62.29328794,8KA,AK
-164.7988325,65.67927406,AK49,AK
-157.3919669,60.86777823,AK64,AK
-146.4605456,62.06479076,Z14,AK
-153.2842399,63.37898565,2K5,AK
-166.3394138,65.24038747,TER,AK
-142.5185799,63.1246972,3T4,AK
-167.9224833,65.56403162,TNC,AK
-160.3967989,59.0535557,TOG,AK
-143.2354953,62.51213433,9AK0,AK
-143.0233643,63.29993016,8AK9,AK
-142.9537086,63.32951698,6K8,AK
-165.0872159,60.54133261,OOK,AK
-148.5223628,64.02566141,9AK,AK
-151.79894,60.81555052,5AK0,AK
-150.2653018,62.51389038,8AK5,AK
-150.2360454,62.56769233,81AK,AK
-150.3358572,62.31277927,0AA5,AK
-160.9233765,61.08772904,TLT,AK
-162.6539939,60.35161079,A61,AK
-165.2462993,60.56952703,4KA,AK
-160.2750628,59.07452516,A63,AK
-147.4108571,62.19733532,93AK,AK
-151.4489332,61.01388584,9AK3,AK
-151.1380932,61.07666395,TYE,AK
-157.3859719,57.51641046,AK96,AK
-157.396015,57.52342574,9A8,AK
-152.135014,69.37111334,UMT,AK
-160.7991356,63.88849963,UNK,AK
-166.5450458,53.89894426,DUT,AK
-153.7035159,65.99277287,UTO,AK
-145.6884569,61.17727261,K55,AK
-146.2447849,61.13421752,VDZ,AK
-146.3663866,67.00867688,VEE,AK
-147.9441768,61.80337637,0AK6,AK
-159.9947826,70.63799914,AWI,AK
-159.8603826,70.61337694,AK03,AK
-168.0949972,65.6225538,IWK,AK
-149.3215622,61.61688226,0AK1,AK
-149.7640093,61.48233498,AK85,AK
-149.4963344,61.52764057,71AK,AK
-149.3919234,61.66254058,3AK8,AK
-149.6824039,61.63346276,6AK9,AK
-149.3396844,61.5525906,58AK,AK
-149.5487844,61.54001556,AK58,AK
-150.0666537,61.34334049,36AK,AK
-149.6093539,61.62725166,AK83,AK
-149.3469678,61.59916837,16AK,AK
-149.7611343,61.44666831,AK99,AK
-149.6243122,61.55937666,AK45,AK
-149.3505344,61.5979517,AK65,AK
-149.6149428,61.62125166,7AK8,AK
-149.6779344,61.59188221,10AK,AK
-149.7440427,61.48184053,79AK,AK
-149.4607038,61.54148224,7AK4,AK
-149.5665233,61.59355167,AK79,AK
-149.5753539,61.62762111,06AK,AK
-149.5791928,61.60076278,43AK,AK
-149.6993427,61.49578221,55AK,AK
-149.6483233,61.62406276,9AK6,AK
-149.7054927,61.55939054,89AK,AK
-149.3686314,61.56054698,65AK,AK
-149.6678622,61.56245165,38AK,AK
-149.4324428,61.63135169,5AK8,AK
-149.6826039,61.63000165,8AK8,AK
-149.3406345,61.63178226,59AK,AK
-149.6147622,61.61750166,AK25,AK
-149.6350233,61.57472388,6AK7,AK
-149.6397232,61.50090166,41AK,AK
-149.5633733,61.58569056,AK47,AK
-149.2885039,61.65153227,87AK,AK
-149.6701233,61.53464054,67AK,AK
-149.4241011,61.55799058,4AK2,AK
-149.3262539,61.59333226,AK54,AK
-149.7148844,61.52342109,AK16,AK
-149.5956788,61.50267111,77AK,AK
-149.4617345,61.65709057,5AK5,AK
-149.6692122,61.61815165,6AK8,AK
-149.6244734,61.64258221,AK27,AK
-149.53958,61.57198781,IYS,AK
